repo,type,mech,alert,break,consoleLog,continue,count,empty,has_error_arguments,lines,noUsageOfErrorArg,reassigningError,rereturn,rethrow,returnErrorObject,returnLiteral,returnNull,returnUndefined,stmts,throwErrorObject,throwLiteral,throwNull,throwUndefined,others
backbone.csv,client,callback,0.0,4.0,0.0,2.0,85,0.0,85.0,2448,6.0,19.0,0.0,1.0,0.0,10.0,1.0,0.0,379,1.0,0.0,0.0,0.0,82
backbone.csv,client,event,0.0,0.0,0.0,0.0,3,0.0,0.0,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,3
backbone.csv,client,try-catch,0.0,0.0,0.0,0.0,93,37.0,93.0,110,23.0,7.0,0.0,4.0,0.0,9.0,0.0,0.0,64,0.0,0.0,0.0,0.0,42
bitcoinjs-lib.csv,server,callback,0.0,0.0,0.0,0.0,39,0.0,39.0,620,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,197,0.0,0.0,0.0,0.0,39
bitcoinjs-lib.csv,server,try-catch,0.0,0.0,0.0,0.0,7,6.0,7.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0
bluebird.csv,server,callback,0.0,6.0,10.0,3.0,587,0.0,587.0,5917,74.0,18.0,0.0,14.0,1.0,19.0,4.0,0.0,1432,3.0,0.0,0.0,0.0,566
bluebird.csv,server,event,0.0,0.0,0.0,0.0,4,0.0,4.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4
bluebird.csv,server,promise,0.0,0.0,1.0,0.0,6,0.0,2.0,12,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,2
bluebird.csv,server,try-catch,0.0,0.0,0.0,0.0,276,45.0,276.0,366,68.0,3.0,0.0,20.0,0.0,20.0,0.0,0.0,297,1.0,0.0,0.0,0.0,216
bootstrap.csv,client,callback,0.0,0.0,2.0,0.0,39,0.0,39.0,158,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,85,2.0,0.0,0.0,0.0,39
bootstrap.csv,client,event,0.0,0.0,0.0,0.0,1,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1
bootstrap.csv,client,promise,0.0,0.0,1.0,0.0,3,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2
bootstrap.csv,client,try-catch,0.0,0.0,2.0,0.0,45,2.0,45.0,49,15.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,49,0.0,0.0,0.0,0.0,32
brackets.csv,client,callback,0.0,25.0,42.0,1.0,1371,0.0,1371.0,11481,314.0,157.0,0.0,2.0,0.0,41.0,3.0,1.0,3187,3.0,0.0,0.0,0.0,1318
brackets.csv,client,event,0.0,0.0,1.0,0.0,15,0.0,15.0,33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,15
brackets.csv,client,promise,0.0,0.0,3.0,0.0,6,0.0,4.0,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,6
brackets.csv,client,try-catch,0.0,0.0,48.0,0.0,1069,488.0,1069.0,1511,298.0,42.0,0.0,18.0,0.0,37.0,0.0,2.0,779,0.0,2.0,0.0,0.0,521
card.csv,client,callback,0.0,0.0,0.0,2.0,42,0.0,42.0,590,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,236,0.0,0.0,0.0,0.0,42
card.csv,client,try-catch,0.0,0.0,0.0,0.0,14,0.0,14.0,50,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,6
cheerio.csv,server,callback,0.0,0.0,0.0,0.0,3,0.0,3.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,3
cheerio.csv,server,event,0.0,0.0,1.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1
cheerio.csv,server,try-catch,0.0,0.0,0.0,0.0,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
closure-compiler.csv,server,async-await,0.0,0.0,0.0,0.0,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
closure-compiler.csv,server,callback,0.0,2.0,0.0,0.0,258,0.0,258.0,261,189.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,142,7.0,0.0,0.0,0.0,80
closure-compiler.csv,server,promise,0.0,0.0,0.0,0.0,5,0.0,2.0,5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0.0,1.0,0.0,0.0,3
closure-compiler.csv,server,try-catch,0.0,0.0,0.0,0.0,83,6.0,83.0,116,35.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,102,0.0,10.0,0.0,0.0,58
closure-library.csv,client,async-await,0.0,0.0,0.0,0.0,1,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
closure-library.csv,client,callback,2.0,40.0,0.0,4.0,1236,0.0,1236.0,7909,254.0,69.0,0.0,14.0,0.0,69.0,16.0,0.0,3275,12.0,0.0,0.0,0.0,1163
closure-library.csv,client,try-catch,1.0,6.0,0.0,4.0,629,93.0,629.0,1501,118.0,27.0,0.0,42.0,0.0,56.0,29.0,1.0,816,0.0,0.0,0.0,0.0,481
clumsy-bird.csv,client,callback,0.0,1.0,0.0,0.0,44,0.0,44.0,385,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,109,0.0,0.0,0.0,0.0,44
clumsy-bird.csv,client,try-catch,0.0,0.0,0.0,0.0,34,4.0,34.0,30,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2.0,0.0,0.0,0.0,28
co.csv,server,callback,0.0,0.0,0.0,0.0,10,0.0,10.0,84,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21,0.0,0.0,0.0,0.0,10
co.csv,server,promise,0.0,0.0,0.0,0.0,5,0.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5
co.csv,server,try-catch,0.0,0.0,0.0,0.0,45,0.0,45.0,48,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,37
create-react-app.csv,client,callback,0.0,1.0,7.0,0.0,18,0.0,18.0,216,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,68,2.0,0.0,0.0,0.0,17
create-react-app.csv,client,event,0.0,0.0,0.0,0.0,6,0.0,6.0,6,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6
create-react-app.csv,client,promise,0.0,0.0,3.0,0.0,7,0.0,4.0,11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,4
create-react-app.csv,client,try-catch,0.0,0.0,3.0,0.0,19,7.0,19.0,32,10.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,22,0.0,0.0,0.0,0.0,5
d3.csv,client,callback,0.0,0.0,0.0,0.0,3,0.0,3.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3
democracyos.csv,client,callback,0.0,1.0,8.0,0.0,265,0.0,265.0,2458,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,708,1.0,0.0,0.0,0.0,265
democracyos.csv,client,promise,0.0,0.0,13.0,0.0,52,0.0,48.0,115,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,88,2.0,0.0,0.0,0.0,51
democracyos.csv,client,try-catch,0.0,0.0,0.0,0.0,6,0.0,6.0,9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,6
docco.csv,server,callback,0.0,0.0,0.0,0.0,3,0.0,3.0,23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,3
docsify.csv,server,callback,0.0,0.0,0.0,0.0,13,0.0,13.0,91,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,13
docsify.csv,server,promise,0.0,0.0,0.0,0.0,2,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2
docsify.csv,server,try-catch,0.0,0.0,0.0,0.0,22,1.0,22.0,47,7.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,16
dragula.csv,client,callback,0.0,0.0,0.0,0.0,18,0.0,18.0,318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,0.0,0.0,0.0,0.0,18
dragula.csv,client,try-catch,0.0,0.0,0.0,0.0,4,4.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
dropzone.csv,client,callback,0.0,4.0,0.0,0.0,54,0.0,54.0,514,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,106,0.0,0.0,0.0,0.0,50
dropzone.csv,client,try-catch,0.0,0.0,0.0,0.0,23,10.0,23.0,23,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,13
drywall.csv,server,callback,0.0,0.0,3.0,0.0,227,0.0,227.0,2227,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574,0.0,0.0,0.0,0.0,227
drywall.csv,server,event,0.0,0.0,0.0,0.0,1,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1
echarts.csv,client,callback,0.0,10.0,0.0,0.0,440,0.0,440.0,6785,33.0,16.0,0.0,2.0,0.0,7.0,0.0,0.0,1858,2.0,0.0,0.0,0.0,440
echarts.csv,client,promise,0.0,0.0,0.0,0.0,3,0.0,3.0,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0,0.0,0.0,0.0,3
