repo,type,mech,count,lines,strategy,strategy_count
lazysizes.csv,client,try-catch,19,12,consoleLog,0.0
lightbox.csv,client,try-catch,6,6,consoleLog,0.0
list.js.csv,client,try-catch,12,28,consoleLog,0.0
lodash.csv,server,try-catch,3,1,consoleLog,0.0
loopback.csv,server,try-catch,26,34,consoleLog,0.0
mapbox-gl-js.csv,client,try-catch,20,46,consoleLog,6.0
markdown-here.csv,client,try-catch,60,187,consoleLog,0.0
materialize.csv,client,try-catch,13,11,consoleLog,0.0
materialize.csv,server,try-catch,13,11,consoleLog,0.0
metalsmith.csv,server,try-catch,3,11,consoleLog,0.0
meteor.csv,client,try-catch,540,1337,consoleLog,6.0
meteor.csv,server,try-catch,540,1337,consoleLog,6.0
mithril.js.csv,client,try-catch,294,391,consoleLog,2.0
mocha.csv,server,try-catch,45,167,consoleLog,0.0
mojs.csv,client,try-catch,40,55,consoleLog,0.0
moment-timezone.csv,server,try-catch,6,0,consoleLog,0.0
moment.csv,server,try-catch,19,12,consoleLog,0.0
mongo-express.csv,server,try-catch,24,51,consoleLog,0.0
mongoose.csv,server,try-catch,262,448,consoleLog,0.0
mousetrap.csv,client,try-catch,71,162,consoleLog,0.0
mysql.csv,server,try-catch,7,10,consoleLog,0.0
natural.csv,server,try-catch,3,4,consoleLog,0.0
nedb.csv,server,try-catch,321,911,consoleLog,1.0
nightwatch.csv,server,try-catch,87,127,consoleLog,1.0
node-http-proxy.csv,server,try-catch,6,6,consoleLog,0.0
node-inspector.csv,server,try-catch,85,86,consoleLog,1.0
node-mongodb-native.csv,server,try-catch,422,845,consoleLog,6.0
node-postgres.csv,server,try-catch,6,12,consoleLog,0.0
node-restify.csv,server,try-catch,66,127,consoleLog,0.0
node-serialport.csv,server,try-catch,118,196,consoleLog,2.0
node.csv,server,try-catch,2030,4056,consoleLog,54.0
nodemailer.csv,server,try-catch,43,108,consoleLog,0.0
nodemon.csv,server,try-catch,14,22,consoleLog,0.0
notifyjs.csv,client,try-catch,2,2,consoleLog,0.0
nuxt.js.csv,server,try-catch,4,6,consoleLog,0.0
openlayers.csv,server,try-catch,175,211,consoleLog,2.0
openui5.csv,client,try-catch,2517,18454,consoleLog,20.0
passport.csv,server,try-catch,6,6,consoleLog,0.0
pdf.js.csv,client,try-catch,193,444,consoleLog,2.0
perfect-scrollbar.csv,client,try-catch,2,2,consoleLog,2.0
phaser.csv,client,try-catch,151,236,consoleLog,0.0
plyr.csv,client,try-catch,239,348,consoleLog,0.0
pm2.csv,server,try-catch,213,401,consoleLog,3.0
postcss.csv,server,try-catch,5,17,consoleLog,0.0
pouchdb.csv,server,try-catch,500,1341,consoleLog,0.0
prettier.csv,client,try-catch,53,181,consoleLog,0.0
progressbar.js.csv,client,try-catch,1,0,consoleLog,0.0
protobuf.js.csv,server,try-catch,114,285,consoleLog,0.0
pug.csv,server,try-catch,47,210,consoleLog,6.0
ratchet.csv,client,try-catch,7,7,consoleLog,0.0
raven-js.csv,client,try-catch,270,394,consoleLog,3.0
react-native.csv,server,try-catch,190,493,consoleLog,5.0
remark.csv,client,try-catch,3,24,consoleLog,0.0
request.csv,server,try-catch,8,10,consoleLog,0.0
reveal.js.csv,client,try-catch,28,57,consoleLog,0.0
riot.csv,client,try-catch,46,116,consoleLog,0.0
sails.csv,server,try-catch,457,987,consoleLog,3.0
