Unnamed: 0,mech,lines,stmts,has_error_arguments,empty,noUsageOfErrorArg,consoleLog,reassigningError,alert,throwLiteral,throwUndefined,throwNull,throwErrorObject,rethrow,returnLiteral,returnUndefined,returnNull,returnErrorObject,rereturn,continue,break,file,repo,count,type
264,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
271,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
274,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
277,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
280,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
284,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
286,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
287,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
288,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
289,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
290,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
291,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
303,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
308,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
310,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
321,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
322,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
323,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Modernizr/test/js/lib/sinon.js,Modernizr.csv,1,client
331,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/dropzone/dist/dropzone-amd-module.js,dropzone.csv,1,client
335,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/dropzone/dist/dropzone-amd-module.js,dropzone.csv,1,client
336,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/dropzone/dist/dropzone-amd-module.js,dropzone.csv,1,client
338,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/dropzone/dist/dropzone-amd-module.js,dropzone.csv,1,client
339,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/dropzone/dist/dropzone-amd-module.js,dropzone.csv,1,client
343,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/dropzone/dist/dropzone-amd-module.js,dropzone.csv,1,client
372,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/dropzone/dist/dropzone.js,dropzone.csv,1,client
374,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/dropzone/dist/dropzone.js,dropzone.csv,1,client
375,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/dropzone/dist/dropzone.js,dropzone.csv,1,client
379,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/dropzone/dist/dropzone.js,dropzone.csv,1,client
408,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/dist/components/api.js,Semantic-UI.csv,1,client
409,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/dist/components/api.js,Semantic-UI.csv,1,client
410,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/dist/components/api.js,Semantic-UI.csv,1,client
411,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/dist/components/api.js,Semantic-UI.csv,1,client
420,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/dist/semantic.js,Semantic-UI.csv,1,client
421,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/dist/semantic.js,Semantic-UI.csv,1,client
422,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/dist/semantic.js,Semantic-UI.csv,1,client
423,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/dist/semantic.js,Semantic-UI.csv,1,client
433,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/src/definitions/behaviors/api.js,Semantic-UI.csv,1,client
434,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/src/definitions/behaviors/api.js,Semantic-UI.csv,1,client
435,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/src/definitions/behaviors/api.js,Semantic-UI.csv,1,client
436,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/src/definitions/behaviors/api.js,Semantic-UI.csv,1,client
468,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/test/helpers/sinon.js,Semantic-UI.csv,1,client
469,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/test/helpers/sinon.js,Semantic-UI.csv,1,client
470,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/test/helpers/sinon.js,Semantic-UI.csv,1,client
475,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/test/helpers/sinon.js,Semantic-UI.csv,1,client
478,try-catch,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Semantic-UI/test/helpers/sinon.js,Semantic-UI.csv,1,client
