,Class,stmts,alert,break,consoleLog,continue,count,empty,has_error_arguments,lines,noUsageOfErrorArg,reassigningError,rereturn,rethrow,returnErrorObject,returnLiteral,returnNull,returnUndefined,throwErrorObject,throwLiteral,throwNull,throwUndefined
133,Web,83,0.0,0.0,0.0,0.0,1,0.0,1.0,577,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
134,Web,84,0.0,2.0,0.0,0.0,6,0.0,6.0,1130,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Web,86,0.0,2.0,0.0,0.0,4,0.0,4.0,591,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Web,87,0.0,5.0,0.0,4.0,5,0.0,5.0,2623,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Web,89,0.0,2.0,0.0,0.0,2,0.0,2.0,437,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Web,91,0.0,4.0,0.0,1.0,5,0.0,5.0,2158,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Web,92,0.0,0.0,0.0,0.0,1,0.0,1.0,92,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Web,94,0.0,3.0,0.0,0.0,3,0.0,3.0,3425,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
141,Web,95,0.0,1.0,0.0,1.0,1,0.0,1.0,2177,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
142,Web,96,0.0,1.0,0.0,0.0,2,0.0,2.0,3424,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
143,Web,97,0.0,2.0,0.0,1.0,2,0.0,2.0,1174,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Web,98,0.0,2.0,0.0,0.0,2,0.0,2.0,1502,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
145,Web,99,0.0,3.0,0.0,0.0,7,0.0,7.0,2643,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Web,100,0.0,1.0,0.0,0.0,1,0.0,1.0,164,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Web,101,0.0,1.0,0.0,0.0,2,0.0,2.0,384,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Web,102,0.0,1.0,0.0,0.0,2,0.0,2.0,769,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Web,103,0.0,1.0,1.0,1.0,1,0.0,1.0,3425,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Web,104,0.0,2.0,0.0,1.0,2,0.0,2.0,3236,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
151,Web,106,0.0,1.0,0.0,0.0,1,0.0,1.0,528,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Web,107,0.0,0.0,0.0,0.0,1,0.0,1.0,112,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Web,109,0.0,1.0,0.0,1.0,2,0.0,2.0,7696,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
154,Web,110,0.0,1.0,0.0,0.0,1,0.0,1.0,305,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
