,err,hypothesis_test,kurtosis_client,kurtosis_server,max_client,max_server,mean_client,mean_server,metric,min_client,min_server,nobs_client,nobs_server,p_value,skewness_client,skewness_server,statistic,variance_client,variance_server
126,,ttest_ind,,,,,,,promiseNumberOfCatchesReturns,,,,,0.3610392806084547,,,0.9319686544277884,,
127,skewtest is not valid with less than 8 samples; 3 samples were given.,,,,,,,,promiseNumberOfCatchesReturnsLiteral,,,,,,,,,,
128,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,promiseNumberOfCatchesReturnsErrorObject,,,,,,,,,,
129,,ttest_ind,,,,,,,promiseNumberOfCatchesThatReturns,,,,,0.2188884328063073,,,1.2477129989339601,,
130,skewtest is not valid with less than 8 samples; 3 samples were given.,,,,,,,,promiseNumberOfCatchesThatReturnsLiteral,,,,,,,,,,
131,skewtest is not valid with less than 8 samples; 2 samples were given.,,,,,,,,promiseNumberOfCatchesThatReturnsLiteralOnly,,,,,,,,,,
132,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,promiseNumberOfCatchesThatReturnsUndefined,,,,,,,,,,
133,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,promiseNumberOfCatchesThatReturnsUndefinedOnly,,,,,,,,,,
134,skewtest is not valid with less than 8 samples; 1 samples were given.,,,,,,,,promiseNumberOfCatchesThatReturnsNull,,,,,,,,,,
135,skewtest is not valid with less than 8 samples; 1 samples were given.,,,,,,,,promiseNumberOfCatchesThatReturnsNullOnly,,,,,,,,,,
136,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,promiseNumberOfCatchesThatReturnsErrorObject,,,,,,,,,,
137,skewtest is not valid with less than 8 samples; 1 samples were given.,,,,,,,,promiseNumberOfCatchesThatRereturns,,,,,,,,,,
138,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,promiseNumberOfCatchesContinues,,,,,,,,,,
139,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,promiseNumberOfCatchesThatContinues,,,,,,,,,,
