"numberOfCallbackErrorFunctions","numberOfFirstErrorArgFunctions","numberOfEmptyCallbacks","numberOfConsoleStatementOnly","numberOfLogicalLines","numberOfPhysicalLines"
0,0,0,0,213,239
0,0,0,0,115,154
0,0,0,0,10,12
0,0,0,0,9,11
0,0,0,0,176,191
0,0,0,0,29,37
0,0,0,0,60,61
0,0,0,0,210,238
0,0,0,0,83,91
0,0,0,0,77,84
0,1,0,0,40,48
0,1,0,0,48,56
0,1,0,0,26,30
0,0,0,0,18,20
0,0,0,0,17,19
0,0,0,0,59,69
0,2,0,0,81,86
0,1,0,0,49,54
0,7,0,0,293,341
0,0,0,0,10,11
0,0,0,0,43,74
0,1,0,0,120,172
0,0,0,0,17,31
0,0,0,0,38,52
0,0,0,0,60,72
0,0,0,0,11,15
0,0,0,0,250,336
0,1,0,0,75,104
0,0,0,0,25,47
0,0,0,0,10,10
1,0,0,0,380,489
0,0,0,0,293,364
0,0,0,0,8,10
0,0,0,0,53,64
0,0,0,0,234,316
0,0,0,0,26,37
0,0,0,0,23,32
0,0,0,0,27,46
0,0,0,0,4,4
0,0,0,0,5,6
0,0,0,0,4,4
0,0,0,0,123,168
0,0,0,0,11,13
0,1,0,0,9,20
0,0,0,0,83,101
0,2,0,0,215,275
0,0,0,0,22,37
0,0,0,0,37,59
0,0,0,0,50,73
0,0,0,0,10,11
0,0,0,0,90,140
0,0,0,0,21,31
0,0,0,0,41,54
0,1,0,1,47,59
0,0,0,0,65,90
0,0,0,0,2,3
0,0,0,0,229,292
0,0,0,0,16,21
0,0,0,0,29,39
0,0,0,0,10,13
0,1,0,0,14,15
0,0,0,0,114,157
0,0,0,0,28,53
0,0,0,0,12,15
0,0,0,0,17,22
0,0,0,0,12,15
0,0,0,0,40,55
0,0,0,0,6,7
0,0,0,0,21,26
0,0,0,0,37,48
0,0,0,0,20,24
0,1,0,0,21,31
0,1,0,0,34,40
0,1,0,0,15,17
0,0,0,0,37,47
0,0,0,0,9,11
0,0,0,0,29,35
0,0,0,0,102,133
0,0,0,0,8,10
0,0,0,0,549,751
0,0,0,0,48,71
0,1,0,1,52,68
0,0,0,0,10,14
0,0,0,0,21,26
0,1,0,1,52,68
0,0,0,0,59,86
0,0,0,0,16,18
0,0,0,0,29,36
0,0,0,0,7,7
0,0,0,0,25,35
0,0,0,0,29,46
0,0,0,0,8,9
0,0,0,0,574,764
0,0,0,0,24,34
1,0,0,0,870,1127
0,0,0,0,217,237
0,1,0,0,16,17
0,0,0,0,19,21
0,0,0,0,233,311
0,0,0,0,242,292
0,0,0,0,3,5
0,0,0,0,2,3
0,0,0,0,52,68
0,0,0,0,68,85
0,0,0,0,10,10
0,0,0,0,25,57
0,0,0,0,318,801
0,0,0,0,87,280
0,0,0,0,21,59
0,0,0,0,29,65
0,0,0,0,10,53
0,0,0,0,27,91
0,0,0,0,34,137
0,0,0,0,655,1748
0,0,0,0,30,67
0,0,0,0,428,1181
0,0,0,0,346,896
0,0,0,0,381,1051
0,0,0,0,383,467
0,0,0,0,8,9
0,0,0,0,95,113
0,0,0,0,68,86
0,0,0,0,6,7
0,0,0,0,320,370
0,0,0,0,9,9
0,0,0,0,124,143
0,0,0,0,4,4
0,0,0,0,450,630
0,0,0,0,17,19
0,0,0,0,9,10
0,0,0,0,18,21
0,3,0,1,179,228
0,0,0,0,58,72
0,0,0,0,19,21
0,5,0,0,54,62
0,0,0,0,15,20
0,0,0,0,36,48
0,2,0,0,233,292
0,0,0,0,66,83
0,0,0,0,15,22
0,1,0,1,41,52
0,1,0,0,68,85
0,2,0,1,82,103
0,2,0,0,107,121
0,1,0,0,88,105
0,0,0,0,28,33
0,3,0,2,62,80
0,0,0,0,45,58
0,0,0,0,35,46
0,1,0,1,44,55
0,1,0,0,134,163
0,2,0,0,43,54
0,0,0,0,15,20
0,0,0,0,36,48
0,2,0,0,70,82
0,0,0,0,14,19
0,0,0,0,13,17
0,0,0,0,63,83
0,1,0,0,62,96
0,1,0,1,5,6
0,0,0,0,76,98
0,0,0,0,2,2
0,0,0,0,157,187
0,0,0,0,22,24
0,0,0,0,18,20
0,0,0,0,14,16
0,0,0,0,30,31
0,0,0,0,274,318
0,0,0,0,7,9
0,0,0,0,63,67
0,0,0,0,7,8
0,0,0,0,36,41
0,1,0,0,29,38
0,2,0,0,25,28
0,2,0,0,25,29
0,1,0,0,23,27
0,3,0,1,29,32
0,2,0,0,32,36
0,2,0,0,32,37
0,2,0,0,28,32
0,2,0,0,19,25
0,0,0,0,15,24
0,1,0,1,16,19
0,1,0,0,28,32
0,2,0,0,25,28
0,1,0,0,28,32
0,3,0,1,73,84
0,5,0,1,199,224
0,0,0,0,2,2
0,1,0,0,79,95
0,5,0,2,196,266
0,0,0,0,9,22
0,13,0,10,389,523
0,0,0,0,42,61
0,1,0,1,37,46
0,8,0,3,355,469
0,1,0,0,21,33
0,0,0,0,140,216
0,0,0,0,113,155
0,0,0,0,10,14
0,1,0,0,33,52
0,0,0,0,557,923
0,1,0,0,155,201
0,0,0,0,49,59
0,0,0,0,6,6
0,0,0,0,12,13
0,0,0,0,35,39
0,0,0,0,319,415
0,0,0,0,254,273
0,0,0,0,21,24
0,1,0,0,24,28
0,0,0,0,57,74
0,1,0,0,90,102
0,0,0,0,68,86
0,0,0,0,82,115
0,13,0,0,291,339
0,0,0,0,15,25
0,0,0,0,517,637
0,0,0,0,337,436
0,0,0,0,280,303
0,0,0,0,10,14
0,0,0,0,380,417
0,0,0,0,21,23
0,0,0,0,29,39
0,0,0,0,8,9
0,0,0,0,8,10
0,0,0,0,8,10
0,0,0,0,2,2
0,0,0,0,18,24
0,0,0,0,20,23
0,0,0,0,113,144
0,7,0,0,55,62
0,3,0,0,33,37
0,10,0,0,94,104
0,0,0,0,232,270
0,0,0,0,63,74
0,2,0,0,137,154
0,2,0,0,107,129
0,0,0,0,14,20
0,0,0,0,19,22
0,0,0,0,34,42
0,0,0,0,37,43
0,0,0,0,31,37
0,0,0,0,32,38
0,0,0,0,33,39
0,0,0,0,33,39
0,0,0,0,77,98
0,0,0,0,14,22
0,0,0,0,73,90
0,0,0,0,18,23
0,0,0,0,53,62
0,0,0,0,17,21
0,0,0,0,155,194
0,0,0,0,260,321
0,0,0,0,15,19
0,0,0,0,42,51
0,0,0,0,14,18
0,0,0,0,19,23
0,0,0,0,84,105
0,0,0,0,95,120
0,0,0,0,15,21
0,0,0,0,124,143
0,0,0,0,4,4
0,0,0,0,450,630
0,0,0,0,17,19
0,0,0,0,9,10
0,0,0,0,47,57
0,0,0,0,252,309
0,0,0,0,4,4
0,0,0,0,54,121
0,0,0,0,72,94
0,0,0,0,10,11
0,0,0,0,97,107
0,0,0,0,30,35
0,0,0,0,25,30
0,0,0,0,100,125
0,0,0,0,13,14
0,0,0,0,21,24
0,0,0,0,9,12
0,0,0,0,208,233
0,0,0,0,65,90
0,0,0,0,114,157
0,0,0,0,28,53
0,0,0,0,26,37
0,0,0,0,23,32
0,0,0,0,27,46
0,0,0,0,4,4
0,0,0,0,5,6
0,0,0,0,4,4
0,0,0,0,51,65
0,0,0,0,39,48
0,0,0,0,2,3
0,0,0,0,30,35
0,0,0,0,161,181
0,0,0,0,7,7
0,0,0,0,2,3
0,0,0,0,4,5
0,0,0,0,62,72
0,0,0,0,101,114
0,0,0,0,48,54
0,0,0,0,16,25
0,0,0,0,7,7
0,0,0,0,38,42
0,0,0,0,18,24
0,0,0,0,20,25
0,0,0,0,59,72
0,0,0,0,53,71
0,0,0,0,57,74
0,2,0,0,77,87
0,0,0,0,7,8
0,0,0,0,51,61
0,0,0,0,62,72
0,2,0,0,63,71
0,1,0,0,34,49
0,1,0,0,150,169
0,0,0,0,2,3
0,0,0,0,2,3
0,0,0,0,35,39
0,0,0,0,99,108
0,0,0,0,21,27
0,0,0,0,131,147
0,0,0,0,13,17
0,0,0,0,12,16
0,1,0,0,71,85
0,0,0,0,20,30
0,0,0,0,2,3
0,0,0,0,2,3
0,1,0,0,203,255
0,0,0,0,5,6
0,1,0,0,194,213
0,0,0,0,21,24
0,0,0,0,54,60
0,1,0,0,38,43
0,0,0,0,12,13
0,0,0,0,35,38
0,0,0,0,136,160
0,1,0,0,230,257
0,5,0,0,335,455
0,0,0,0,3,5
0,0,0,0,3,4
0,5,0,1,256,399
0,1,0,0,100,133
0,0,0,0,31,42
0,0,0,0,12,24
0,0,0,0,101,152
0,0,0,0,337,483
0,0,0,0,372,543
0,0,0,0,28,33
0,0,0,0,219,301
0,0,0,0,50,61
0,0,0,0,330,379
0,0,0,0,143,166
0,0,0,0,52,64
0,0,0,0,83,98
0,0,0,0,56,75
0,0,0,0,59,109
0,2,0,0,97,158
0,0,0,0,41,73
0,1,0,1,40,85
0,0,0,0,2,4
0,0,0,0,517,1159
0,0,0,0,516,1157
0,0,0,0,224,271
0,0,0,0,90,120
0,0,0,0,93,111
0,0,0,0,27,35
0,0,0,0,4,52
0,0,0,0,16,84
0,0,0,0,10,46
0,0,0,0,13,48
0,0,0,0,48,383
0,0,0,0,25,32
0,0,0,0,17,21
0,0,0,0,3,3
0,0,0,0,5,7
0,0,0,0,18,26
0,6,0,0,527,620
0,0,0,0,40,70
0,0,0,0,1,1
0,0,0,0,101,152
0,0,0,0,86,185
0,0,0,0,99,202
0,0,0,0,5,10
0,0,0,0,118,246
0,1,0,0,245,303
0,2,0,0,125,204
0,2,0,0,97,158
0,0,0,0,41,73
0,1,0,1,40,85
0,0,0,0,2,4
0,0,0,0,517,1159
0,0,0,0,516,1157
0,0,0,0,224,271
0,0,0,0,90,120
0,0,0,0,93,111
0,0,0,0,27,35
0,0,0,0,4,52
0,0,0,0,16,84
0,0,0,0,10,46
0,0,0,0,13,48
0,0,0,0,48,383
0,0,0,0,25,32
0,0,0,0,17,21
0,0,0,0,3,3
0,0,0,0,5,7
0,0,0,0,18,26
0,6,0,0,527,620
0,0,0,0,40,70
0,0,0,0,1,1
0,0,0,0,101,152
0,0,0,0,86,185
0,0,0,0,99,202
0,0,0,0,5,10
0,0,0,0,118,246
0,1,0,0,250,308
0,0,0,0,67,113
0,0,0,0,9,14
0,0,0,0,395,554
0,0,0,0,82,176
0,0,0,0,17,22
0,0,0,0,133,190
0,0,0,0,50,73
0,0,0,0,443,445
0,0,0,0,139,170
0,0,0,0,112,175
0,0,0,0,203,288
0,0,0,0,38,51
0,0,0,0,148,215
0,0,0,0,95,148
0,0,0,0,95,120
0,0,0,0,63,75
0,0,0,0,14,21
0,0,0,0,18,32
0,0,0,0,71,91
0,0,0,0,338,484
0,0,0,0,558,764
0,0,0,0,260,382
0,0,0,0,48,71
0,0,0,0,30,45
0,0,0,0,21,32
0,0,0,0,95,109
0,1,0,0,229,411
0,0,0,0,48,92
0,0,0,0,14,35
0,0,0,0,182,296
0,1,0,0,135,214
0,0,0,0,122,174
0,0,0,0,41,71
0,2,0,2,91,141
0,2,0,0,97,158
0,0,0,0,41,73
0,1,0,1,40,85
0,0,0,0,2,4
0,0,0,0,517,1159
0,0,0,0,516,1157
0,0,0,0,224,271
0,0,0,0,90,120
0,0,0,0,93,111
0,0,0,0,27,35
0,0,0,0,4,52
0,0,0,0,16,84
0,0,0,0,10,46
0,0,0,0,13,48
